t,x,y,theta ,vl,vr
0,1.3,0,0,0,0
0.2,1.26400062,-5.98861E-08,0.010565145,-0.247143598,-0.241867287
0.4,1.215099165,-0.000516693,0.012556205,-0.277874782,-0.299917383
0.6,1.157301883,-0.00124229,0.004238243,-0.286760466,-0.338210378
0.8,1.094659208,-0.001506881,-0.015176818,-0.269957301,-0.353767161
1,1.031860398,-0.000556311,-0.046803181,-0.230003698,-0.346470576
1.2,0.973365528,0.002153939,-0.090752946,-0.170214801,-0.314970472
1.4,0.923571828,0.006577395,-0.145377728,-0.09346786,-0.258297099
1.6,0.886878561,0.011721166,-0.207577441,-0.004189857,-0.17949288
1.8,0.86697642,0.015609941,-0.273729525,0.090930274,-0.085729944
2,0.865884513,0.015679983,-0.340393758,0.184977779,0.014959809
2.2,0.88361296,0.00933063,-0.404551483,0.273054732,0.11558231
2.4,0.918535065,-0.005602954,-0.463975038,0.348746141,0.202226714
2.6,0.966985394,-0.029941641,-0.519265388,0.407123171,0.265597648
2.8,1.024344914,-0.063058835,-0.572671246,0.448520239,0.309121891
3,1.086727972,-0.103865631,-0.625274396,0.476034813,0.339463562
3.2,1.151357301,-0.151338804,-0.676810717,0.492899979,0.364715256
3.4,1.216578129,-0.204787959,-0.725182311,0.504320929,0.396219945
3.6,1.282171901,-0.26429085,-0.765975135,0.514650979,0.441700142
3.8,1.349006259,-0.330400038,-0.793503753,0.523393703,0.494422224
4,1.417914461,-0.40267973,-0.804436387,0.524409453,0.5413744
4.2,1.489055483,-0.478946853,-0.79803452,0.529687691,0.589716957
4.4,1.564236487,-0.558217881,-0.775381966,0.532823842,0.630290847
4.6,1.644402499,-0.638425484,-0.738601965,0.535717768,0.663090449
4.8,1.730457764,-0.71775635,-0.690536802,0.540146337,0.690318654
5,1.823162628,-0.79478446,-0.633868003,0.546247384,0.711907031
5.2,1.922830448,-0.868158339,-0.571354929,0.558447685,0.734122442
5.4,2.030190944,-0.937179828,-0.505062568,0.571823534,0.75294467
5.6,2.144963229,-1.000641083,-0.436714969,0.585292784,0.768471084
5.8,2.266533329,-1.05741497,-0.367591083,0.599676609,0.782281082
6,2.394352443,-1.106655812,-0.298683734,0.612720466,0.792669889
6.2,2.527412527,-1.14758536,-0.230778292,0.625552157,0.80121999
6.4,2.664904386,-1.179757367,-0.164488543,0.638151787,0.80827255
6.6,2.806036817,-1.202936425,-0.100292029,0.650338194,0.813839425
6.8,2.950017671,-1.217063407,-0.038593452,0.661837704,0.817896227
7,3.096062011,-1.222239618,0.020296557,0.671900773,0.819831178
7.2,3.243306453,-1.218709844,0.076119351,0.680612892,0.819974131
7.4,3.390996311,-1.206854554,0.128708498,0.687550978,0.818088872
7.6,3.538389926,-1.187164368,0.17796808,0.692416491,0.814072435
7.8,3.684787662,-1.160221329,0.223875984,0.695265452,0.808123658
8,3.829593415,-1.126664396,0.266463986,0.695921585,0.800159815
8.2,3.972260345,-1.087177409,0.305799167,0.694250937,0.790114723
8.4,4.112290404,-1.042475102,0.34197418,0.690389421,0.778171583
8.6,4.249275319,-0.993275362,0.375099524,0.684457433,0.764486207
8.8,4.38288377,-0.940286509,0.405299062,0.676473344,0.749105295
9,4.512833507,-0.88420466,0.432707345,0.666411109,0.732027062
9.2,4.638875093,-0.825710922,0.457468082,0.654217174,0.713217051
9.4,4.760779203,-0.765469488,0.479732187,0.639854644,0.692650961
9.6,4.878332228,-0.70412336,0.499655325,0.623300712,0.6703118
9.8,4.991331894,-0.642290979,0.517395358,0.604533155,0.646175756
10,5.099581114,-0.580564902,0.533109547,0.583526767,0.62020851
10.2,5.202882026,-0.519511726,0.546951715,0.560235393,0.592348736
10.4,5.301027946,-0.459674585,0.559069957,0.534539554,0.562458861
10.6,5.393787651,-0.401581786,0.569605545,0.506206092,0.530289515
10.8,5.480884267,-0.345760464,0.578693629,0.474938669,0.495530233
11,5.561983449,-0.292745451,0.58646403,0.44042084,0.457835978
11.2,5.636687774,-0.243084357,0.593035781,0.402346727,0.416848682
11.4,5.70453602,-0.197339927,0.598508217,0.360562655,0.372373596
11.6,5.765029159,-0.156074536,0.602965175,0.315041733,0.324361527
11.8,5.817652086,-0.119835505,0.606482079,0.265805585,0.272826528
