t,x ,y,theta,vl,vr
0,1.3,0,0,0,0
0.2,1.303746671,9.6275E-08,-0.0123767,0.069520384,0.011377154
0.4,1.311642512,-9.85491E-05,-0.034317542,0.103322298,0.022901509
0.6,1.323897011,-0.000524963,-0.06466501,0.135835969,0.038475386
0.8,1.340786086,-0.001633251,-0.101404853,0.167183046,0.056791483
1,1.362458149,-0.003862696,-0.143062046,0.197216261,0.077746808
1.2,1.389015083,-0.007716759,-0.188144858,0.226243383,0.10157209
1.4,1.420567968,-0.01374769,-0.235190629,0.254209228,0.127723997
1.6,1.457105587,-0.02251272,-0.282920905,0.280907565,0.155646819
1.8,1.498480818,-0.034536715,-0.330189111,0.306299326,0.184994358
2,1.544461932,-0.050288356,-0.375964571,0.330355353,0.215403543
2.2,1.594755035,-0.070152616,-0.419342612,0.352938226,0.246438832
2.4,1.649016355,-0.094401251,-0.459531063,0.373886391,0.277697317
2.6,1.706883691,-0.123174434,-0.495828827,0.393066478,0.308833961
2.8,1.7680116,-0.156473124,-0.527614682,0.410422435,0.339586083
3,1.832106843,-0.194163535,-0.554345381,0.425961408,0.369749646
3.2,1.898952698,-0.235987868,-0.575557367,0.439706472,0.399128813
3.4,1.968417087,-0.281575248,-0.590869691,0.45172057,0.42755798
3.6,2.040456707,-0.330457711,-0.59998765,0.462093929,0.454887939
3.8,2.115111296,-0.382085762,-0.602706891,0.470923178,0.480964694
4,2.19248761,-0.435841016,-0.59891764,0.478367571,0.505687582
4.2,2.272746812,-0.491053828,-0.588608202,0.484585581,0.528945562
4.4,2.356077776,-0.547011987,-0.571868587,0.489655147,0.550533319
4.6,2.442654887,-0.602959392,-0.548895692,0.493864631,0.570443864
4.8,2.532643871,-0.658126819,-0.519997868,0.49775597,0.588861424
5,2.62621695,-0.711762794,-0.485618451,0.501499793,0.605553611
5.2,2.723466501,-0.763104722,-0.446352859,0.50503645,0.620138293
5.4,2.824351719,-0.811383386,-0.402918202,0.508539049,0.632637606
5.6,2.928743377,-0.855878052,-0.356088558,0.512580582,0.643811916
5.8,3.036530832,-0.895975853,-0.3065673,0.516509302,0.653002179
6,3.147393537,-0.93108102,-0.255060554,0.520716192,0.660713457
6.2,3.261017357,-0.960714005,-0.202231397,0.525249825,0.667095435
6.4,3.377047127,-0.984491883,-0.148704751,0.529744747,0.671888851
6.6,3.495022735,-1.002120899,-0.095065467,0.534190378,0.675210059
6.8,3.614466651,-1.013421156,-0.041850493,0.538427601,0.677039271
7,3.734873366,-1.018322905,0.010455797,0.542287868,0.677362389
7.2,3.855725313,-1.01686542,0.061427315,0.545563908,0.676186545
7.4,3.976505733,-1.009191893,0.110718876,0.547784921,0.673231844
7.6,4.096657183,-0.995544972,0.158057337,0.548848383,0.66872167
7.8,4.215676201,-0.976251288,0.20329254,0.548780439,0.66281099
8,4.333122913,-0.951693703,0.246322937,0.547183256,0.655209978
8.2,4.448539159,-0.922315686,0.287087737,0.544166335,0.646118042
8.4,4.561544009,-0.888591038,0.32556008,0.539744809,0.635614537
8.6,4.671810461,-0.851014819,0.361737336,0.533702463,0.623517591
8.8,4.779016697,-0.81011063,0.395629837,0.526108278,0.609940601
9,4.882896864,-0.766406543,0.427264676,0.516984656,0.594927927
9.2,4.983225698,-0.720431053,0.456677231,0.506267263,0.578438072
9.4,5.079798836,-0.672715183,0.483911498,0.493969056,0.560501079
9.6,5.17244181,-0.623782462,0.509017922,0.480080495,0.541120167
9.8,5.261001234,-0.574147475,0.53205176,0.464569139,0.52027316
10,5.345336438,-0.524315607,0.553072146,0.447391985,0.497924259
10.2,5.425313488,-0.474782445,0.572140928,0.428483247,0.474013117
10.4,5.50079756,-0.426035002,0.589322012,0.407753678,0.44845407
10.6,5.571645576,-0.378553606,0.60468065,0.385104715,0.421150983
10.8,5.637701553,-0.332812575,0.618283015,0.360413919,0.391980289
11,5.698789617,-0.289282844,0.630194853,0.333521983,0.360779242
11.2,5.754705367,-0.248436292,0.640480611,0.304271754,0.327389874
11.4,5.805214177,-0.210745337,0.64920443,0.272581346,0.29172668
11.6,5.850060603,-0.176673688,0.656429085,0.238313374,0.253640142
11.8,5.888956513,-0.146682739,0.66221277,0.201300443,0.212974715
