Time [s], X-Pos [m], Y-Pos [m], phi [rad], dX-Pos [m/s], dY-Pos [m/s], dphi [rad/s], Path Vel [m/s]
0,0,0,0,0,0,0,0
0.05,7.38871e-05,0,0,0.00443323,0,0,0.00443323
0.1,0.000591097,0,0,0.0177329,0,0,0.0177329
0.15,0.00199495,0,0,0.0398991,0,0,0.0398991
0.2,0.00472878,0,0,0.0709317,0,0,0.0709317
0.25,0.00923357,0,0,0.110274,0,0,0.110274
0.3,0.0156706,0,0,0.145729,0,0,0.145729
0.35,0.0236587,0,0,0.172318,0,0,0.172318
0.4,0.0327547,0,0,0.190041,0,0,0.190041
0.45,0.042515,0,0,0.198897,0,0,0.198897
0.5,0.0525059,0,0,0.2,0,0,0.2
0.55,0.0625059,0,0,0.2,0,0,0.2
0.6,0.0725059,0,0,0.2,0,0,0.2
0.65,0.0825059,0,0,0.2,0,0,0.2
0.7,0.0925059,0,0,0.2,0,0,0.2
0.75,0.102506,0,0,0.2,0,0,0.2
0.8,0.112506,0,0,0.2,0,0,0.2
0.85,0.122506,0,0,0.2,0,0,0.2
0.9,0.132506,0,0,0.2,0,0,0.2
0.95,0.142506,0,0,0.2,0,0,0.2
1,0.152506,0,0,0.2,0,0,0.2
1.05,0.162506,0,0,0.2,0,0,0.2
1.1,0.172506,0,0,0.2,0,0,0.2
1.15,0.182506,0,0,0.2,0,0,0.2
1.2,0.192506,0,0,0.2,0,0,0.2
1.25,0.202506,0,0,0.2,0,0,0.2
1.3,0.212506,0,0,0.2,0,0,0.2
1.35,0.222506,0,0,0.2,0,0,0.2
1.4,0.232506,0,0,0.2,0,0,0.2
1.45,0.242506,0,0,0.2,0,0,0.2
1.5,0.252506,0,0,0.2,0,0,0.2
1.55,0.262506,0,0,0.2,0,0,0.2
1.6,0.272506,0,0,0.2,0,0,0.2
1.65,0.282506,0,0,0.2,0,0,0.2
1.7,0.292506,0,0,0.2,0,0,0.2
1.75,0.302506,0,0,0.2,0,0,0.2
1.8,0.312506,0,0,0.2,0,0,0.2
1.85,0.322506,0,0,0.2,0,0,0.2
1.9,0.332506,0,0,0.2,0,0,0.2
1.95,0.342506,0,0,0.2,0,0,0.2
2,0.352506,0,0,0.2,0,0,0.2
2.05,0.362506,0,0,0.2,0,0,0.2
2.1,0.372506,0,0,0.2,0,0,0.2
2.15,0.382506,0,0,0.2,0,0,0.2
2.2,0.392506,0,0,0.2,0,0,0.2
2.25,0.402506,0,0,0.2,0,0,0.2
2.3,0.412506,0,0,0.2,0,0,0.2
2.35,0.422506,0,0,0.2,0,0,0.2
2.4,0.432506,0,0,0.2,0,0,0.2
2.45,0.442506,0,0,0.2,0,0,0.2
2.5,0.452506,0,0,0.2,0,0,0.2
2.55,0.462506,0,0,0.2,0,0,0.2
2.6,0.472506,0,0,0.2,0,0,0.2
2.65,0.482506,0,0,0.2,0,0,0.2
2.7,0.492506,0,0,0.2,0,0,0.2
2.75,0.502506,0,0,0.2,0,0,0.2
2.8,0.512506,0,0,0.2,0,0,0.2
2.85,0.522506,0,0,0.2,0,0,0.2
2.9,0.532506,0,0,0.2,0,0,0.2
2.95,0.542506,0,0,0.2,0,0,0.2
3,0.552506,0,0,0.2,0,0,0.2
3.05,0.562506,0,0,0.2,0,0,0.2
3.1,0.572506,0,0,0.2,0,0,0.2
3.15,0.582506,0,0,0.2,0,0,0.2
3.2,0.592506,0,0,0.2,0,0,0.2
3.25,0.602506,0,0,0.2,0,0,0.2
3.3,0.612506,0,0,0.2,0,0,0.2
3.35,0.622506,0,0,0.2,0,0,0.2
3.4,0.632506,0,0,0.2,0,0,0.2
3.45,0.642506,0,0,0.2,0,0,0.2
3.5,0.652506,0,0,0.2,0,0,0.2
3.55,0.662506,0,0,0.2,0,0,0.2
3.6,0.672506,0,0,0.2,0,0,0.2
3.65,0.682506,0,0,0.2,0,0,0.2
